Programme,Year,Total,SC,ST,OBC,PWD,Muslim,OtherMinorityCommunities,ForeignStudents
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2018,6544,67,16,2212,6,4762,51,10
Certificate-Certificate,2018,8485,1599,1006,2107,4,71,125,10
Diploma-Diploma,2018,61511,11931,4396,18492,467,2328,1473,62
D.M.-Doctor of Medicine,2018,501,1,0,34,0,8,8,1
D.Pharma-Diploma in Pharmacy,2018,49751,4367,1219,17587,87,3326,665,9
G.N.M.-General Nursing & Midwifery,2018,194788,44432,21551,52630,444,3717,9176,96
Integrated Ph.D-Integrated Doctor of Philosophy,2018,487,25,8,68,0,191,129,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2018,113,5,1,5,0,1,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2018,216198,19532,8234,55674,710,8032,9245,1535
M.Ch.-Master of Chirurgiae,2018,322,4,1,25,0,3,2,2
M.D.-Doctor of Medicine,2018,37771,2877,1286,7504,295,1137,811,92
M.D.S.-Master of Dental Surgery,2018,13318,797,213,2517,8,693,564,10
M.H.M.S.-Master of Homeopathic Medicine and Science,2018,61,0,0,0,0,0,0,0
M.Optom. -Master of Optometry,2018,133,2,0,17,0,8,0,2
M.O.T. -Master of Occupational Therapy,2018,217,19,9,51,0,5,12,0
M.Pharm. -Master of Pharmacy,2018,29008,4207,1039,9449,23,1823,651,197
M.Phil.-Master of Philosophy,2018,316,12,4,48,1,5,15,0
M.P.H. -Master of Public Health,2018,716,44,18,132,1,57,27,104
M.P.T.-Master of Physiotherapy,2018,4597,382,93,878,2,204,223,65
M.Sc.-Master of Science,2018,4344,349,124,1110,4,229,186,47
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2018,117,12,1,36,3,7,4,2
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2018,21,0,1,4,0,1,0,1
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2018,125,5,4,21,0,5,1,3
M.Sc. Nursing-Master of Science in Nursing,2018,9808,1318,395,2405,31,207,735,62
M.S.-Master of Surgery,2018,9596,668,348,1895,14,202,253,12
PG Diploma-Post Graduate Diploma,2018,7666,631,285,1748,74,154,134,0
Pharm.D.-Doctor of Pharmacy,2018,24145,2131,673,9003,4,2522,2064,624
Ph.D.-Doctor of Philosophy,2018,5289,271,50,836,5,206,123,22
Vachaspati-Vachaspati,2018,2899,314,108,699,12,45,38,29
