State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit ,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
152306,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
152306,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
152306,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
152306,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
152306,DC Infrastructure Academy,893,Unsubsidized Employment,7/26/2021,7/26/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
94429,DC Infrastructure Academy,893,Unsubsidized Employment,1/4/2021,1/4/2021,Successful Completion,,,,,Successful Completion Employed,1/6/2021,,1/4/2021,Aldridge Electric Inc,Cheverly,MD,Groundman,40,19.92,1,1,9,0,,,,
143171,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,Successful Completion Employed,4/30/2021,,4/15/2021,WDC Solar,,,Solar Installer,40,20,,1,9,0,,,,
143171,DC Infrastructure Academy,893,Unsubsidized Employment,4/15/2021,4/15/2021,Successful Completion,,,,,Successful Completion Employed,4/30/2021,,4/15/2021,WDC Solar,,,Solar Installer,40,20,,1,9,0,,,,
143171,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,Successful Completion Employed,4/30/2021,,4/15/2021,WDC Solar,,,Solar Installer,40,20,,1,9,0,,,,
113703,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,9/4/2020,,,,                              ,,,,,,,,,,,,,,
113703,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,9/4/2020,,,,                              ,,,,,,,,,,,,,,
115570,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
413560,DC Infrastructure Academy,101,Orientation,12/21/2020,12/21/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
413560,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
413560,DC Infrastructure Academy,226,Reading and/or Math Testing,11/5/2020,11/5/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
345342,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
345342,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
77570,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
77570,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
77570,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
77570,DC Infrastructure Academy,893,Unsubsidized Employment,5/13/2021,5/13/2021,Successful Completion,,,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
359054,DC Infrastructure Academy,101,Orientation,12/23/2020,12/23/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
359054,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
359054,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
359054,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
359054,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
359054,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
212307,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/10/2021,6/7/2021,Unsuccessful Completion - Dropped Out,"CNI, LLC",Washington Gas Training Program,,,,,,                              ,,,,,,,,,,,,,,
507216,DC Infrastructure Academy,893,Unsubsidized Employment,11/30/2020,11/30/2020,Successful Completion,,,5,9/30/2020,Successful Completion Employed,11/30/2020,,11/30/2020,Dynamic Concepts Inc.,Washington,DC,Laborer,40,18,1,1,9,0,541618,,,
180010,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,9/18/2020,,,,                              ,,,,,,,,,,,,,,
180010,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Unsuccessful Completion - Failed to Report,Toni Thomas Associates,Commercial Driver's License Class B,5,9/18/2020,,,,                              ,,,,,,,,,,,,,,
616092,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
616092,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
614321,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
614321,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
460576,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
460576,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
617102,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
617102,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
263429,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
263429,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
263429,DC Infrastructure Academy,893,Unsubsidized Employment,5/13/2021,5/13/2021,Unsuccessful Completion - Employed,,,,,Successful Completion Employed,5/13/2021,,5/13/2021,Big Bus Tours,Hyattsville,MD,Tour Bus Driver,40,17,1,1,9,0,561520,,,
211600,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
211600,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
7591,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/8/2021,Unsuccessful Completion - Did Not Meet Requirement,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
7591,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,1/8/2021,Unsuccessful Completion - Did Not Meet Requirement,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
132086,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
132086,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
177876,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
177876,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
177876,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,2/19/2021,Unsuccessful Completion - Failed to Report,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
599042,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
599042,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
599042,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
185826,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
185826,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),12/3/2020,2/19/2021,Unsuccessful Completion - Failed to Report,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
338457,DC Infrastructure Academy,101,Orientation,12/4/2020,12/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
338457,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
338457,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
338457,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,3/19/2021,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
338457,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,3/19/2021,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
96442,DC Infrastructure Academy,101,Orientation,12/10/2020,12/10/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,Successful Completion Employed,6/17/2021,,6/14/2021,CW & Sons Infrastructure,Washington,DC,Laborer,40,18,1,1,9,0,,,,
96442,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,Successful Completion Employed,6/17/2021,,6/14/2021,CW & Sons Infrastructure,Washington,DC,Laborer,40,18,1,1,9,0,,,,
96442,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,Successful Completion Employed,6/17/2021,,6/14/2021,CW & Sons Infrastructure,Washington,DC,Laborer,40,18,1,1,9,0,,,,
96442,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,6/17/2021,,6/14/2021,CW & Sons Infrastructure,Washington,DC,Laborer,40,18,1,1,9,0,,,,
96442,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,6/1/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,6/17/2021,,6/14/2021,CW & Sons Infrastructure,Washington,DC,Laborer,40,18,1,1,9,0,,,,
96442,DC Infrastructure Academy,893,Unsubsidized Employment,6/14/2021,6/14/2021,Successful Completion,,,,,Successful Completion Employed,6/17/2021,,6/14/2021,CW & Sons Infrastructure,Washington,DC,Laborer,40,18,1,1,9,0,,,,
618383,DC Infrastructure Academy,101,Orientation,12/7/2020,12/7/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
618383,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
618383,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
618383,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
618383,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
618383,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
618383,DC Infrastructure Academy,893,Unsubsidized Employment,7/26/2021,7/26/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,substation helper,40,23.93,1,1,1,0,221122,,,
434450,DC Infrastructure Academy,101,Orientation,12/16/2020,12/16/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
434450,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
434450,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
434450,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
434450,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
434450,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
204060,DC Infrastructure Academy,101,Orientation,12/16/2020,12/16/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
204060,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
204060,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
204060,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
204060,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
204060,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
204060,DC Infrastructure Academy,893,Unsubsidized Employment,6/8/2021,6/8/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,"B. Frank Joy, LLC",Washington,DC,Laborer,40,20,1,1,1,0,,,,
325615,DC Infrastructure Academy,101,Orientation,12/16/2020,12/16/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
325615,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
325615,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
325615,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,4/2/2021,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
325615,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,4/2/2021,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
325615,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/14/2021,8/2/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
325615,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,8/12/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,8/12/2021,,8/2/2021,City of College Park- Park & Rec,College Park,MD,Laborer,40,16,1,1,9,0,922160,,,
187846,DC Infrastructure Academy,101,Orientation,12/15/2020,12/15/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
187846,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
187846,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
187846,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,,,,                              ,,,,,,,,,,,,,,
187846,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,                              ,,,,,,,,,,,,,,
38030,DC Infrastructure Academy,101,Orientation,12/17/2020,12/17/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
391811,DC Infrastructure Academy,101,Orientation,12/14/2020,12/14/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
391811,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
391811,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,,,,                              ,,,,,,,,,,,,,,
391811,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,3/1/2021,Participation Waived/Exempted,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,,,,                              ,,,,,,,,,,,,,,
391811,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,6/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,                              ,,,,,,,,,,,,,,
206528,DC Infrastructure Academy,101,Orientation,12/15/2020,12/15/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
206528,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
206528,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
206528,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
206528,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
206528,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
