State Id,OfficeName,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
206252,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
228127,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
148018,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/27/2019,6/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,Successful Completion Employed,8/22/2019,,8/22/2019,Compass Group USA,Leonardtown,MD,Cook,40,14,1,1,9,0,72231,,,
390195,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/8/2019,8/9/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/9/2019,Unknown Status,2/24/2020,,                              ,,,,,,,,,,,,,,
475296,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,Successful Completion Employed,7/24/2019,,7/24/2019,Career Strategies Inc,Alexandria,VA,PM-Porter/Groundskeeper I,40,15,1,1,9,0,541612,,,
206822,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/22/2019,3/15/2019,Successful Completion,ITC Technologies LLC,Cisco Certified Network Associate (CCNA),5,7/26/2019,Successful Completion Employed,12/2/2019,,12/2/2019,UPS Store,Bowie,MD,Team Member,40,13,1,1,9,0,541860,,,
278224,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/24/2019,7/24/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,5,6/7/2019,,,,                              ,,,,,,,,,,,,,,
509570,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/11/2019,7/12/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/12/2019,,,,                              ,,,,,,,,,,,,,,
113362,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),10/11/2018,12/7/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,12/7/2018,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
127958,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,5/10/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,7/8/2019,,7/8/2019,Legacy International Zion Ministries,,,Cleaner,60,12.5,0,0,9,0,,,,
2524,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/11/2019,7/12/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/12/2019,Successful Completion,9/25/2020,,                              ,,,,,,,,,,,,,,
485237,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,2/22/2019,Unsuccessful Completion - Dropped Out,Excel Automotive Institute,Automotive Foundations,,,Successful Completion Employed,9/6/2019,,9/6/2019,oasis group holdings inc,,,Marina Guest Service Associate,40,14,0,0,9,0,,,,
48596,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/28/2019,3/1/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/1/2019,Unknown Status,9/2/2020,,                              ,,,,,,,,,,,,,,
147259,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/5/2019,5/24/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,3/8/2019,Successful Completion Employed,8/1/2019,,6/10/2019,Vivint Solar,Beltsville,MD,Sales Manager,40,25,0,0,9,0,423720,,,
179464,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,
249874,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,8/2/2019,,,,                              ,,,,,,,,,,,,,,
99318,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/11/2019,7/11/2019,Status of Completion Unknown,DC Department of Employment Services,Services to Individuals Seeking Employment,5,7/12/2019,Successful Completion Employed,12/4/2019,,9/16/2019,ARAMARK,Washington,DC,housekeeping,32,14.3,0,0,9,0,721110,,,
181252,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
146944,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/10/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,4,9/11/2019,Successful Completion Employed,11/5/2019,,11/4/2019,Synergy Bis,Reston,VA,Data  Seurity Analyst,40,26.44,1,1,9,0,511210,,,
79286,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/5/2019,6/5/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,6,6/5/2019,Successful Completion Employed,2/25/2020,,12/28/2018,Sodexo,Alexandria,VA,Cashier,20,14.7,0,0,9,0,454390,,,
211139,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),9/6/2019,11/21/2019,Successful Completion,Excel Automotive Institute,Automotive- Brakes,5,7/12/2019,Successful Completion Employed,3/9/2019,,3/9/2019,Home Depot,Washington,DC,Freight/Receiving,40,15,1,1,9,0,444110,,,
180256,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/7/2019,3/8/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/8/2019,Successful Completion Employed,8/1/2019,,7/1/2019,New Columbia Solar,Washington,DC,Solar Installer,40,18,0,0,9,0,423720,,,
179263,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/25/2019,7/26/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,6/28/2019,,,,                              ,,,,,,,,,,,,,,
512027,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/5/2019,9/6/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/8/2019,Successful Completion Employed,2/24/2020,,8/27/2019,Target,,,Small Format Team Member,40,13,1,1,9,0,,,,
152665,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/24/2019,7/24/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
129199,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/20/2019,6/21/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/21/2019,Successful Completion Employed,11/27/2019,,11/27/2019,Amazon,,,Fulfillment Associate,30,15,0,0,9,0,238110,,,
505856,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/13/2019,6/14/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,6/7/2019,Successful Completion Employed,6/16/2019,,6/16/2019,Tyson Project Management Group,Washington,DC,Laborer,40,15,1,1,9,0,541614,,,
435654,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,8/9/2019,Successful Completion,Excel Automotive Institute,Automotive Foundations,5,5/17/2019,Successful Completion Employed,12/3/2019,,12/3/2019,UPS,,,Preloader,40,14,1,1,9,0,,,,
11424,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/28/2019,8/28/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,5,8/9/2019,,,,                              ,,,,,,,,,,,,,,
16429,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/11/2019,7/12/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/12/2019,,,,                              ,,,,,,,,,,,,,,
153672,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/6/2019,6/7/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/7/2019,,,,                              ,,,,,,,,,,,,,,
280117,DC Infrastructure Academy,313,Enrolled In State And Local Training,4/4/2019,4/5/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,4/5/2019,,,,                              ,,,,,,,,,,,,,,
117903,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/15/2019,8/16/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/14/2019,,,,                              ,,,,,,,,,,,,,,
147259,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/7/2019,3/8/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/8/2019,Successful Completion Employed,8/1/2019,,6/10/2019,Vivint Solar,Beltsville,MD,Sales Manager,40,25,0,0,9,0,423720,,,
22143,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/11/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,Successful Completion Employed,3/3/2020,,2/19/2020,FORREST SOLUTIONS,,,contractor,40,17.25,1,1,9,0,,,,
93313,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/5/2019,6/5/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,6,6/5/2019,,,,                              ,,,,,,,,,,,,,,
484865,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,1/23/2020,,9/14/2019,Dynamic Concepts Inc,Washington,DC,Laborer,40,18,1,1,9,0,541614,,,
93313,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/10/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,6,6/5/2019,,,,                              ,,,,,,,,,,,,,,
512029,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/24/2019,9/25/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/9/2019,,,,                              ,,,,,,,,,,,,,,
478398,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/10/2019,9/27/2019,Unsuccessful Completion - Failed to Report,CC Prep - MLK,Help Desk IT Training,,,Unknown Status,8/31/2020,,                              ,,,,,,,,,,,,,,
68079,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/6/2019,6/7/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/7/2019,,,,                              ,,,,,,,,,,,,,,
106227,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
390195,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/15/2019,8/16/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/9/2019,Unknown Status,2/24/2020,,                              ,,,,,,,,,,,,,,
510286,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
99834,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/28/2019,3/29/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/29/2019,Successful Completion Employed,2/24/2020,,10/21/2019,Rehab Plus Staffing Group,,,Dedicated Aide,20,14,1,1,9,0,,,,
474602,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/28/2019,3/1/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,Successful Completion Employed,2/24/2020,,3/23/2019,Uno Pizzeria & Grill,Alexandria,VA,Dishwasher,20,12,1,1,9,0,722511,,,
505563,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,,,,                              ,,,,,,,,,,,,,,
508329,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/28/2019,9/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/20/2019,,,,                              ,,,,,,,,,,,,,,
506610,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,6/7/2019,,,,                              ,,,,,,,,,,,,,,
25745,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,8/2/2019,Unknown Status,2/24/2020,,                              ,,,,,,,,,,,,,,
258200,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,8/2/2019,,,,                              ,,,,,,,,,,,,,,
64091,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
175815,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,Unknown Status,9/26/2020,,                              ,,,,,,,,,,,,,,
511705,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/15/2019,8/16/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/14/2019,Successful Completion Employed,10/25/2019,,10/25/2019,Granite City Food & Brewery Ltd,,,Host,40,12,1,1,9,0,,,,
169836,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/28/2019,3/29/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/29/2019,,,,                              ,,,,,,,,,,,,,,
229932,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/15/2019,8/16/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,OSHA 30,5,8/9/2019,Successful Completion Employed,10/2/2019,,10/2/2019,Prospect Waterproofing Co,Washington,DC,Helper,40,16,0,0,9,0,238160,,,
505300,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/5/2019,5/24/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/24/2019,Successful Completion Employed,8/1/2019,,6/11/2019,Solar United Neighbors,Washington,DC,Program Coordinator,40,21.88,1,1,9,0,423720,,,
284108,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/10/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,6,6/5/2019,Cannot Locate,9/1/2020,,                              ,,,,,,,,,,,,,,
356303,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/25/2019,7/26/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,OSHA 30,5,6/21/2019,,,,                              ,,,,,,,,,,,,,,
144901,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/9/2019,7/26/2019,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,7/26/2019,Unknown Status,9/1/2020,,                              ,,,,,,,,,,,,,,
472680,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,Unknown Status,9/8/2020,,                              ,,,,,,,,,,,,,,
168144,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,4/10/2019,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,4/11/2019,,4/11/2019,Collaborative Solutions for Community,,,Intervention Specialist,40,20.83,0,0,9,0,,,,
485495,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/22/2019,3/15/2019,Successful Completion,ITC Technologies LLC,Cisco Certified Network Associate (CCNA),4,9/10/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
116001,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,8/27/2019,,8/27/2019,Anchor Construction,Washington,DC,Linemen,40,18,1,1,9,0,236115,,,
55101,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/25/2019,7/26/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,6/21/2019,,,,                              ,,,,,,,,,,,,,,
203391,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,8/9/2019,Successful Completion,Excel Automotive Institute,Automotive Foundations,5,5/17/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
510282,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/25/2019,,,,                              ,,,,,,,,,,,,,,
112663,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/13/2019,8/14/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/14/2019,,,,                              ,,,,,,,,,,,,,,
471887,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Linemen,40,20,1,1,9,0,221122,,,
146826,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
505455,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/13/2019,8/14/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/14/2019,,,,                              ,,,,,,,,,,,,,,
415387,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/30/2019,5/31/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/31/2019,Successful Completion Employed,2/28/2020,,8/14/2019,Pillow Express Delivery Inc,,,Driver/Courier,40,14.88,1,1,9,0,,,,
150695,DC Infrastructure Academy,313,Enrolled In State And Local Training,4/4/2019,4/5/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,4/5/2019,Successful Completion Employed,9/18/2019,,8/1/2019,Hire Dynamics,Alpharetta,GA,Production Assembler,18,13,0,0,9,0,561320,,,
506170,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,,,,                              ,,,,,,,,,,,,,,
64091,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
461274,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,,,,                              ,,,,,,,,,,,,,,
84499,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,3/22/2019,,,,                              ,,,,,,,,,,,,,,
183572,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,8/2/2019,Cannot Locate,2/24/2020,,                              ,,,,,,,,,,,,,,
34851,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,8/9/2019,Successful Completion,Excel Automotive Institute,Automotive Foundations,5,5/17/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
150321,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/25/2019,7/26/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,OSHA 30,5,6/28/2019,,,,                              ,,,,,,,,,,,,,,
429307,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,4/10/2019,Unsuccessful Completion - Failed to Report,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,6/9/2019,,6/9/2019,Fedex Express,,,Courier/DOT,40,19.66,1,1,9,0,,,,
131877,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
14934,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,8/12/2019,,8/12/2019,Cw Wright Construction,Winchester,VA,Laborer,40,18,1,1,9,0,236115,,,
50855,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/8/2019,8/9/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/9/2019,Successful Completion Employed,10/3/2019,,10/3/2019,"Sodexho Operations, inc",Washington,DC,Stock Worker and Receiver,40,17.15,1,1,9,0,722310,,,
512029,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/8/2019,8/9/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/9/2019,,,,                              ,,,,,,,,,,,,,,
506211,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/28/2019,3/29/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/29/2019,Successful Completion Employed,7/26/2019,,7/16/2019,Dynamic P S G LLC,Washington,DC,carpenter,40,27.81,1,1,9,0,236220,,,
509043,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
170375,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/28/2019,3/29/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/29/2019,Unknown Status,9/5/2020,,                              ,,,,,,,,,,,,,,
355259,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/25/2019,9/25/2019,Unsuccessful Completion - Dropped Out,The Training Zone of the DMV,OSHA 30,5,9/25/2019,,,,                              ,,,,,,,,,,,,,,
504897,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/7/2019,3/8/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/24/2019,Successful Completion Employed,6/19/2019,,6/19/2019,Eugene McCuthen,,,laborer/mover,40,15,0,0,9,0,,,,
397827,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/15/2019,9/27/2019,Unsuccessful Completion - Failed to Report,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,7/26/2019,,,,                              ,,,,,,,,,,,,,,
510770,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,Successful Completion Employed,8/27/2019,,8/27/2019,Labor Finders,Suitland,MD,General Construction Worker,40,12.5,1,1,9,0,561311,,,
231692,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/13/2019,8/14/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/14/2019,,,,                              ,,,,,,,,,,,,,,
274600,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/15/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,6,9/10/2019,,,,                              ,,,,,,,,,,,,,,
509104,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/27/2019,6/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,,,,                              ,,,,,,,,,,,,,,
419023,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
507339,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
100976,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/13/2019,6/14/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,5/31/2019,Successful Completion Employed,9/24/2019,,9/24/2019,Motir Service Inc,Washington,DC,Helper,30,14.65,0,0,9,0,541990,,,
505784,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/7/2019,3/8/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/24/2019,,,,                              ,,,,,,,,,,,,,,
210306,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,7/12/2019,,,,                              ,,,,,,,,,,,,,,
179953,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/6/2019,7/26/2019,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,7/26/2019,,,,                              ,,,,,,,,,,,,,,
159805,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/30/2019,5/31/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/31/2019,,,,                              ,,,,,,,,,,,,,,
64265,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/28/2019,3/1/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/1/2019,,,,                              ,,,,,,,,,,,,,,
25649,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
490099,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,4/23/2019,Unsuccessful Completion - Dropped Out,Excel Automotive Institute,Automotive Foundations,,,,,,                              ,,,,,,,,,,,,,,
255685,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/11/2019,7/12/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/12/2019,,,,                              ,,,,,,,,,,,,,,
9425,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),9/6/2019,11/21/2019,Successful Completion,Excel Automotive Institute,Automotive- Brakes,5,7/11/2019,Successful Completion Employed,2/6/2020,,2/6/2020,Crescent Hospitality Corporation,Alexandria,VA,Floor Houseperson,40,12.56,1,1,9,0,,,,
